lread,lwrite,scall,sread,swrite,fork,exec,rchar,wchar,pgout,ppgout,pgfree,pgscan,atch,pgin,ppgin,pflt,vflt,runqsz,freemem,freeswap,usr
31.0,5.0,2177.0,109.0,92.0,3.0,2.2,81775.0,27837.0,2.0,2.2,2.2,0.0,0.2,2.0,3.2,131.6,236.0,437.0,90.0,10.0,0.0
14.0,13.0,1844.0,180.0,97.0,1.6,3.21,43391.0,31850.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,125.85,228.66,1.0,1318.0,1087683.0,89.0
27.0,21.0,4340.0,154.0,109.0,1.8,2.4,189072.0,48502.0,0.0,0.0,0.0,0.0,0.0,14.63,31.06,157.72,372.55,2.0,743.0,1018156.0,79.0
36.0,42.0,2126.0,176.0,134.0,2.4,0.8,307257.0,243412.0,0.0,0.0,0.0,0.0,60.8,0.6,0.6,122.0,239.4,3.6,2048.0,1725027.0,87.0
8.0,6.0,1168.0,129.0,88.0,0.8,0.6,135994.0,31885.0,2.0,2.0,2.0,0.0,0.4,2.0,2.0,36.6,47.8,133.0,94.0,6.0,0.0
54.0,2.0,5599.0,232.0,211.0,13.2,40.6,234916.0,50239.0,3.0,9.8,20.2,26.6,2.4,5.0,5.6,473.4,846.6,2.0,213.0,1095446.0,56.0
19.0,17.0,3752.0,358.0,204.0,2.4,3.61,914154.0,563127.0,0.0,0.0,0.0,0.0,0.0,10.02,16.83,153.31,264.93,4.8,2603.0,1038966.0,82.0
3.0,2.0,1710.0,131.0,122.0,0.6,1.0,68306.0,103547.0,0.0,0.0,0.0,0.0,0.0,2.8,4.2,51.8,89.8,3.2,493.0,1063110.0,91.0
5.0,3.0,2990.0,220.0,146.0,0.2,0.2,45866.0,58198.0,0.0,0.0,0.0,0.0,0.0,1.6,2.0,20.36,78.24,4.2,402.0,1060037.0,90.0
18.0,27.0,141.0,8.0,10.0,0.2,0.2,1028.0,9290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.77,16.77,1.0,11972.0,1884990.0,98.0
7.0,2.0,2088.0,257.0,200.0,4.8,2.4,359374.0,8357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,367.8,2.2,8581.0,1865357.0,85.0
6.0,1.0,7448.0,1590.0,1544.0,4.4,1.6,1349215.0,1292798.0,0.0,0.0,0.0,0.0,0.0,5.0,7.8,257.2,349.4,1.7,725.0,1113125.0,60.0
4.0,2.0,566.0,24.0,20.0,1.4,3.8,15866.0,12723.0,0.0,0.0,0.0,0.0,0.0,1.8,3.0,93.6,123.2,1.2,6884.0,1826949.0,95.0
1.0,0.0,3064.0,265.0,410.0,0.4,2.0,23293.0,50002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.4,38.8,3.0,1765.0,1699619.0,91.0
1.0,0.0,4945.0,429.0,241.0,0.6,1.4,93810.0,41867.0,2.6,4.2,4.2,0.0,0.2,6.0,7.6,49.8,120.4,1.0,173.0,1137552.0,85.0
6.0,1.0,1038.0,43.0,45.0,1.0,1.8,39702.0,38793.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,91.22,109.58,2.4,629.0,1513416.0,95.0
17.0,21.0,256.0,23.0,21.0,0.2,0.2,46567.0,33495.0,5.2,8.4,8.2,0.0,0.0,0.0,0.0,15.4,16.8,2.0,185.0,1760056.0,96.0
1.0,0.0,3974.0,266.0,163.0,0.4,0.6,39665.0,57867.0,1.4,1.4,1.4,0.0,0.4,5.59,8.38,38.12,100.8,1.0,176.0,1125060.0,86.0
3.0,0.0,437.0,38.0,29.0,2.0,2.0,59422.0,19164.0,6.2,6.2,6.2,0.0,0.0,1.6,1.6,167.0,151.4,3.0,152.0,1783864.0,84.0
0.0,0.0,3119.0,172.0,178.0,0.4,0.4,287429.0,357693.0,0.0,0.0,0.0,0.0,0.0,11.8,12.0,16.4,43.6,2.8,1340.0,1376870.0,93.0
119.0,0.0,2773.0,289.0,109.0,13.2,38.8,104786.0,39867.0,0.0,0.0,0.0,0.0,0.6,65.2,65.2,488.4,916.0,1.5,821.0,1086093.0,56.0
9.0,4.0,3289.0,385.0,348.0,3.6,1.0,161759.0,86979.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,172.4,279.2,1.0,539.0,966606.0,81.0
7.0,2.0,2128.0,183.0,166.0,0.8,2.2,89713.0,240084.0,0.0,0.0,0.0,0.0,0.0,2.8,3.6,70.0,109.0,3.2,406.0,1527165.0,90.0
8.0,2.0,1388.0,190.0,158.0,1.0,0.8,1087958.0,385189.0,7.6,42.2,108.8,244.2,1.4,85.6,152.8,76.0,152.4,1.0,136.0,1059101.0,84.0
8.0,1.0,4773.0,1009.0,880.0,3.2,1.4,1086945.0,662015.0,2.2,4.6,13.0,36.0,11.8,17.8,37.8,225.0,376.4,2.0,204.0,1121336.0,71.0
39.0,36.0,1278.0,136.0,107.0,1.0,1.0,294454.0,32347.0,0.0,0.0,0.0,0.0,0.2,13.6,63.0,114.4,234.0,2.0,1018.0,1051102.0,89.0
24.0,20.0,1737.0,263.0,145.0,3.4,4.4,305734.0,188601.0,0.0,0.0,0.0,0.0,0.0,1.4,2.0,222.6,337.2,5.2,2666.0,1603402.0,86.0
1.0,0.0,1642.0,189.0,132.0,1.6,1.2,24684.0,27671.0,3.6,3.6,10.8,30.2,0.2,2.2,2.2,62.4,142.4,1.4,146.0,1099021.0,90.0
20.0,7.0,4531.0,397.0,305.0,3.59,1.8,408514.0,24179.0,0.0,0.0,0.0,0.0,0.0,2.99,3.19,187.03,317.56,1.8,1962.0,964972.0,82.0
1.0,1.0,3624.0,158.0,106.0,0.4,0.6,24880.0,5624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.2,107.4,1.6,1046.0,1742170.0,92.0
7.0,1.0,8197.0,1643.0,1360.0,5.59,3.39,1294310.0,1037226.0,5.79,11.18,17.76,20.36,1.6,4.59,5.79,278.84,535.13,2.2,206.0,1088327.0,60.0
16.0,23.0,701.0,40.0,33.0,0.4,0.4,46977.0,41240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.13,41.92,1.6,8402.0,1861517.0,96.0
71.0,95.0,1799.0,188.0,93.0,1.0,2.8,664266.0,115590.0,0.0,0.0,0.0,0.0,0.6,2.6,3.0,117.0,124.2,2.2,1950.0,1004462.0,88.0
15.0,2.0,3028.0,211.0,147.0,0.4,0.4,116391.0,11256.0,0.0,0.0,0.0,0.0,0.8,3.8,4.6,25.6,59.2,4.6,398.0,1309442.0,90.0
101.0,105.0,4419.0,139.0,78.0,5.0,7.2,352137.0,75612.0,0.0,0.0,0.0,0.0,0.0,2.0,2.8,264.8,552.4,8.4,578.0,1308730.0,74.0
1845.0,13.0,4377.0,125.0,118.0,3.8,4.0,33563.0,62630.0,1.4,1.8,1.6,0.0,0.8,2.2,2.6,184.6,289.8,4.2,376.0,1512704.0,57.0
1.0,0.0,2164.0,166.0,167.0,0.6,2.4,249529.0,93523.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,50.4,61.0,1.0,2728.0,1051227.0,93.0
7.0,2.0,1885.0,165.0,82.0,1.2,1.6,59639.0,44156.0,0.0,0.0,0.0,0.0,0.0,8.42,9.02,92.79,140.68,1.0,410.0,1067469.0,91.0
36.0,49.0,1216.0,62.0,55.0,0.2,0.2,89409.0,9037.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2,18.96,20.56,1.2,653.0,1728966.0,95.0
4.0,1.0,1391.0,298.0,194.0,3.2,1.0,293409.0,198201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.4,229.4,2.4,5159.0,1836803.0,89.0
5.0,0.0,1649.0,554.0,19.0,3.61,5.01,206447.0,4026.0,0.0,0.0,0.0,0.0,0.0,10.82,20.84,236.07,342.28,1.6,8589.0,1870285.0,89.0
69.0,53.0,5445.0,553.0,280.0,4.0,7.0,543318.0,461196.0,0.0,0.0,0.0,0.0,0.0,22.8,34.2,252.8,436.2,1250.0,71.0,29.0,0.0
1.0,1.0,384.0,151.0,56.0,0.2,0.2,278545.0,232878.0,0.0,0.0,0.0,0.0,0.0,5.4,10.0,16.2,36.6,2.4,5806.0,1829590.0,95.0
11.0,5.0,3900.0,149.0,134.0,0.6,0.6,197230.0,30298.0,0.0,0.0,0.0,0.0,0.0,1.0,1.8,34.2,46.4,394.0,91.0,9.0,0.0
23.0,33.0,4590.0,91.0,120.0,0.2,0.2,79232.0,53278.0,5.41,9.82,17.03,26.65,0.2,1.4,2.2,14.43,48.1,1.0,119.0,1016200.0,92.0
1.0,0.0,257.0,26.0,40.0,0.2,0.2,5230.0,137977.0,7.2,13.4,13.2,0.0,0.8,7.6,9.4,17.2,30.6,1.6,434.0,1743578.0,89.0
22.0,13.0,2831.0,376.0,152.0,0.4,0.4,449524.0,505237.0,0.0,0.0,0.0,0.0,0.0,0.6,1.2,31.0,118.8,1.8,631.0,1046166.0,88.0
3.0,0.0,449.0,37.0,37.0,1.8,1.8,60822.0,68322.0,0.0,0.0,0.0,0.0,0.0,2.2,4.0,151.2,150.8,1.2,6239.0,1852714.0,92.0
9.0,8.0,1824.0,134.0,112.0,1.0,2.2,47048.0,50902.0,2.4,5.6,5.4,0.0,0.8,4.2,6.2,54.8,161.8,1.3,213.0,1019315.0,93.0
3.0,0.0,3583.0,222.0,115.0,0.8,2.99,207530.0,55930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.72,64.87,3.2,1009.0,1629554.0,92.0
143.0,81.0,682.0,144.0,167.0,0.2,0.2,86750.0,138284.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,14.6,16.8,2.0,1756.0,1762155.0,95.0
3.0,3.0,1758.0,232.0,171.0,1.2,1.4,16809.0,56375.0,0.0,0.0,0.0,0.0,0.2,1.0,1.0,62.4,100.4,1.0,637.0,1120304.0,92.0
6.0,1.0,1791.0,256.0,161.0,1.0,2.4,73757.0,43555.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,74.4,100.4,3.4,2889.0,1548859.0,94.0
37.0,53.0,1569.0,139.0,77.0,0.2,0.4,60204.0,26377.0,0.0,0.0,0.0,0.0,0.0,11.78,11.78,34.73,90.22,1.0,328.0,1021311.0,94.0
13.0,4.0,2460.0,212.0,205.0,0.6,0.6,218663.0,95372.0,0.0,0.0,0.0,0.0,0.0,10.2,15.6,34.2,73.8,1.0,404.0,1018656.0,88.0
10.0,7.0,1122.0,109.0,79.0,1.8,1.8,66512.0,38500.0,0.0,0.0,0.0,0.0,0.0,2.61,2.81,72.14,159.92,3.6,540.0,970956.0,92.0
7.0,5.0,2149.0,117.0,148.0,0.6,0.6,115000.0,25800.0,0.0,0.0,0.0,0.0,0.4,5.4,9.6,47.8,91.4,2.0,777.0,1047805.0,89.0
17.0,3.0,2542.0,176.0,106.0,3.6,8.8,51858.0,26836.0,2.6,8.2,17.4,29.2,1.2,26.2,30.0,169.4,322.0,6.2,202.0,1111174.0,82.0
0.0,0.0,4182.0,245.0,145.0,0.2,0.2,24077.0,22389.0,0.8,1.2,1.4,2.8,0.2,10.4,12.2,15.4,36.4,1.0,152.0,1137411.0,88.0
11.0,2.0,4053.0,131.0,92.0,2.0,1.8,229531.0,74623.0,0.0,0.0,0.0,0.0,0.0,6.2,6.8,133.4,223.0,3.4,1084.0,1516277.0,81.0
21.0,14.0,4435.0,375.0,232.0,7.6,18.2,141324.0,38980.0,0.0,0.0,0.0,0.0,0.0,6.8,9.2,305.8,538.0,1.0,687.0,1097723.0,67.0
7.0,1.0,2697.0,552.0,496.0,0.2,0.2,581228.0,478856.0,14.43,40.28,74.35,89.78,6.21,25.25,71.34,15.63,39.68,1.5,134.0,1051256.0,83.0
10.0,1.0,4871.0,522.0,431.0,1.0,1.8,708698.0,295910.0,8.58,54.69,62.87,47.11,0.8,12.97,40.72,89.42,150.9,1.0,261.0,1044677.0,83.0
4.0,0.0,4449.0,610.0,584.0,3.61,6.61,442354.0,376615.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,210.22,296.59,1.5,666.0,1097331.0,81.0
80.0,48.0,2115.0,100.0,118.0,1.2,1.6,59217.0,109468.0,4.2,16.0,33.8,38.8,1.4,6.6,12.4,184.2,103.6,4.8,131.0,1597446.0,89.0
14.0,8.0,2420.0,355.0,239.0,0.8,0.8,81892.0,50960.0,7.21,13.43,53.71,76.35,2.61,51.1,63.73,78.96,164.13,3.0,140.0,1097291.0,84.0
19.0,7.0,2730.0,178.0,113.0,3.0,4.6,656621.0,547133.0,63.8,150.0,170.2,186.6,1.6,4.2,4.8,314.6,295.4,3.0,158.0,1528717.0,72.0
14.0,13.0,6360.0,217.0,166.0,0.6,0.6,77756.0,74474.0,0.0,0.0,0.0,0.0,0.0,5.0,5.4,31.6,67.2,1.8,766.0,999555.0,87.0
1.0,1.0,2033.0,553.0,142.0,0.2,0.6,327246.0,254291.0,29.4,58.2,58.2,0.0,0.8,1.2,1.8,40.6,64.0,2.4,267.0,1382013.0,89.0
126.0,30.0,1697.0,258.0,228.0,0.4,0.4,92249.0,127353.0,5.4,39.2,88.8,146.8,0.4,55.6,65.4,35.4,170.4,1.0,130.0,975880.0,89.0
42.0,9.0,6663.0,186.0,86.0,7.6,21.8,284749.0,160378.0,7.4,8.2,13.4,10.8,7.0,3.8,5.8,546.0,688.8,5.6,198.0,1538224.0,64.0
7.0,4.0,1213.0,64.0,56.0,0.6,0.4,9159.0,27622.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,36.73,35.93,387.0,96.0,4.0,0.0
2.0,1.0,929.0,133.0,17.0,0.6,1.2,1031503.0,55161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.68,72.34,1.8,8515.0,1868604.0,93.0
7.0,2.0,2576.0,157.0,118.0,0.4,0.6,317672.0,104149.0,13.2,36.4,62.0,78.6,0.4,17.6,47.6,43.8,146.0,1.6,147.0,981075.0,87.0
12.0,11.0,414.0,167.0,56.0,0.6,2.6,281537.0,281447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,53.6,2.6,5535.0,1828835.0,96.0
27.0,8.0,3973.0,282.0,151.0,4.2,4.6,508438.0,192730.0,5.2,21.4,61.0,129.4,2.8,22.4,31.8,198.4,412.2,1.8,273.0,1014010.0,74.0
1.0,1.0,949.0,227.0,48.0,0.8,0.8,120175.0,13528.0,0.8,0.8,0.8,0.0,0.4,1.8,2.61,45.89,74.75,1.0,276.0,1731014.0,94.0
3.0,0.0,2095.0,118.0,91.0,0.4,0.4,317741.0,97914.0,0.0,0.0,0.0,0.0,0.0,0.6,1.2,34.6,107.2,5.0,410.0,1522066.0,90.0
2.0,1.0,5402.0,406.0,274.0,0.2,0.2,22609.0,155154.0,2.2,3.6,6.6,8.0,0.4,7.4,7.4,33.0,54.2,2.5,152.0,1015040.0,84.0
69.0,80.0,4765.0,867.0,732.0,0.2,0.2,683248.0,614527.0,2.2,29.4,69.0,271.8,0.6,17.8,80.6,15.4,48.8,4.0,146.0,1397720.0,86.0
2.0,1.0,2695.0,222.0,152.0,1.2,1.8,241693.0,134072.0,6.79,12.97,9.78,0.0,2.79,21.36,31.14,74.65,210.78,2.0,529.0,1007079.0,84.0
3.0,1.0,2018.0,159.0,118.0,1.0,1.0,116293.0,62743.0,0.0,0.0,0.0,0.0,0.0,8.2,12.6,90.0,111.2,2.8,2997.0,1419893.0,90.0
0.0,0.0,2254.0,109.0,137.0,0.2,0.2,50288.0,17569.0,0.0,0.0,0.0,0.0,0.0,14.8,20.4,15.2,52.4,3.2,3917.0,1721176.0,93.0
13.0,1.0,4228.0,507.0,417.0,6.57,3.19,190947.0,65011.0,6.18,19.12,54.38,133.86,0.6,5.38,5.38,296.61,609.76,2.0,139.0,1009343.0,71.0
19.0,26.0,2041.0,433.0,332.0,2.2,5.8,417645.0,100281.0,0.0,0.0,0.0,0.0,0.0,8.6,17.0,151.6,182.2,2.2,414.0,1697981.0,82.0
4.0,2.0,2865.0,368.0,134.0,0.2,0.2,226324.0,113731.0,0.0,0.0,0.0,0.0,0.0,6.4,10.4,24.2,31.0,2.4,960.0,1527998.0,91.0
26.0,1.0,2050.0,145.0,111.0,4.8,4.8,39860.0,75624.0,5.4,18.0,27.2,62.4,0.4,12.0,19.4,229.2,432.2,1.7,160.0,1063896.0,82.0
1.0,0.0,1419.0,143.0,58.0,0.2,0.2,294580.0,5987.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,17.0,2.6,6227.0,1731128.0,95.0
52.0,67.0,5028.0,397.0,361.0,5.4,5.2,114224.0,251581.0,0.0,0.0,0.0,0.0,0.0,5.4,5.4,186.2,392.4,1.8,462.0,995160.0,73.0
7.0,0.0,1261.0,75.0,29.0,3.6,4.0,130020.0,29856.0,0.0,0.0,0.0,0.0,0.0,6.4,9.4,321.0,331.6,3.0,1926.0,1804962.0,80.0
6.0,5.0,1582.0,320.0,106.0,0.2,0.2,480602.0,468110.0,2.6,4.4,4.4,0.0,0.6,0.8,0.8,22.4,48.4,224.0,88.0,12.0,0.0
18.0,2.0,2669.0,188.0,168.0,3.6,9.2,197760.0,233386.0,0.0,0.0,0.0,0.0,0.4,20.4,40.4,129.0,263.6,4.2,920.0,1632099.0,83.0
4.0,2.0,445.0,41.0,15.0,2.0,2.0,89005.0,17012.0,0.0,0.0,0.0,0.0,0.0,3.41,5.61,206.01,164.93,1.2,11753.0,1891069.0,87.0
2.0,1.0,1600.0,85.0,136.0,0.2,0.2,15271.0,112122.0,1.6,1.8,1.6,0.0,0.0,4.4,5.0,15.6,31.6,2.5,331.0,1061296.0,94.0
12.0,5.0,3506.0,425.0,283.0,1.4,1.0,226175.0,186398.0,0.0,0.0,0.0,0.0,1.0,4.2,7.6,100.0,151.6,4.8,632.0,1550574.0,86.0
12.0,5.0,943.0,78.0,161.0,1.4,4.2,169313.0,185587.0,2.6,2.6,2.6,0.0,1.0,1.2,2.2,47.2,87.6,186.0,91.0,9.0,0.0
35.0,47.0,628.0,62.0,36.0,0.8,1.0,181004.0,9809.0,0.0,0.0,0.0,0.0,0.0,2.0,3.2,60.2,124.6,1.4,1616.0,1708194.0,94.0
7.0,4.0,2490.0,262.0,123.0,2.0,7.4,95775.0,26881.0,2.8,3.0,37.6,72.6,2.0,19.2,20.2,96.0,313.8,8.6,143.0,1021181.0,85.0
8.0,0.0,3782.0,498.0,428.0,7.2,2.2,181646.0,22390.0,0.2,0.2,0.2,0.0,0.0,0.8,0.8,349.0,611.6,1.5,370.0,1028214.0,75.0
4.0,3.0,2365.0,409.0,202.0,1.2,2.59,158972.0,63925.0,12.38,54.69,76.65,125.55,2.79,45.71,58.48,85.63,145.71,1.0,157.0,1099780.0,85.0
3.0,2.0,2717.0,250.0,187.0,0.4,1.8,106983.0,78503.0,0.6,1.0,1.0,0.0,0.2,5.8,6.6,25.4,82.6,1.0,341.0,1031469.0,90.0
22.0,18.0,4418.0,351.0,216.0,4.0,5.0,301061.0,68449.0,0.0,0.0,0.0,0.0,0.0,6.2,7.6,265.2,497.8,2.0,1063.0,1008304.0,72.0
55.0,79.0,494.0,58.0,38.0,0.6,0.6,94256.0,19869.0,14.6,23.4,23.4,0.0,5.8,5.6,7.8,34.8,62.6,1.0,196.0,1729854.0,93.0
4.0,0.0,889.0,77.0,36.0,2.59,5.19,134414.0,28946.0,0.0,0.0,0.0,0.0,0.0,7.19,12.38,234.73,208.78,1.4,6376.0,1847115.0,87.0
1.0,1.0,1028.0,49.0,48.0,0.2,0.2,93613.0,102306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8,16.8,1.2,8439.0,1837168.0,93.0
3.0,1.0,475.0,84.0,88.0,0.4,0.6,55384.0,58785.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,28.2,41.4,2.0,6182.0,1724002.0,95.0
8.0,3.0,819.0,84.0,105.0,1.2,1.0,123070.0,102258.0,0.0,0.0,0.0,0.0,0.2,14.4,27.0,66.4,115.6,1.0,459.0,1063021.0,93.0
4.0,1.0,2439.0,183.0,114.0,0.6,0.6,171077.0,108093.0,0.0,0.0,0.0,0.0,0.2,0.4,0.4,46.4,83.0,2.4,2113.0,1539048.0,93.0
7.0,3.0,398.0,28.0,23.0,2.4,2.0,29854.0,24869.0,0.0,0.0,0.0,0.0,0.0,3.41,6.61,101.8,156.91,1.0,2690.0,1775247.0,92.0
13.0,8.0,1536.0,158.0,106.0,0.6,0.4,181548.0,22361.0,0.4,0.4,0.4,0.0,8.2,1.0,1.0,49.4,71.0,2.0,205.0,1086210.0,93.0
7.0,3.0,7070.0,346.0,226.0,2.6,5.6,429107.0,40146.0,0.0,0.0,0.0,0.0,0.0,26.6,30.2,195.4,341.6,5.8,2650.0,1436826.0,76.0
1.0,0.0,2140.0,124.0,80.0,0.4,0.4,216382.0,101066.0,0.0,0.0,0.0,0.0,0.0,8.58,8.58,34.13,98.6,2.5,1129.0,1013696.0,91.0
3.0,3.0,1236.0,248.0,144.0,0.4,0.4,150286.0,148238.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,29.6,45.2,3.0,1937.0,1577413.0,93.0
1.0,0.0,6128.0,505.0,287.0,0.6,0.8,261803.0,103675.0,5.98,14.74,37.25,49.6,0.2,3.39,3.39,60.96,118.92,4.8,133.0,996523.0,83.0
5.0,1.0,2140.0,290.0,228.0,1.0,0.8,48362.0,513735.0,0.0,0.0,0.0,0.0,0.0,4.6,5.0,48.4,132.0,1.6,905.0,1034624.0,87.0
42.0,60.0,2663.0,199.0,123.0,1.0,2.0,271197.0,145550.0,17.6,25.4,25.4,0.0,15.2,3.6,4.4,72.4,110.8,2.8,239.0,989875.0,88.0
19.0,28.0,328.0,59.0,40.0,0.2,0.8,174891.0,18230.0,0.0,0.0,0.0,0.0,0.0,20.36,39.32,21.76,29.54,1.6,2006.0,1759344.0,95.0
2.0,0.0,836.0,154.0,160.0,1.2,1.2,365652.0,153501.0,2.6,19.0,91.8,234.6,1.8,20.4,39.4,54.4,108.8,2.2,112.0,1714547.0,90.0
14.0,0.0,2664.0,340.0,323.0,6.2,9.0,67387.0,26099.0,4.0,4.2,5.6,3.2,0.4,2.8,4.4,477.0,446.6,1.0,237.0,1089926.0,80.0
515.0,575.0,202.0,36.0,27.0,0.2,0.2,908.0,10669.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,15.6,16.8,1.0,6609.0,1856976.0,96.0
7.0,4.0,2251.0,289.0,264.0,0.8,2.0,182660.0,29917.0,8.2,8.4,8.0,0.0,3.2,6.8,10.2,63.6,106.8,2.7,232.0,1102570.0,88.0
9.0,2.0,1542.0,183.0,81.0,1.8,1.4,21281.0,15756.0,5.2,5.4,7.8,4.8,0.4,2.8,2.8,86.4,215.8,2.0,161.0,1065467.0,90.0
2.0,1.0,3075.0,251.0,143.0,1.0,1.0,37634.0,49451.0,0.0,0.0,0.0,0.0,0.2,3.6,3.6,68.4,109.0,2.0,715.0,1116754.0,90.0
33.0,46.0,2709.0,158.0,99.0,1.2,2.8,182741.0,77871.0,0.0,0.0,0.0,0.0,0.2,2.6,3.2,93.8,134.6,2.0,359.0,987986.0,87.0
8.0,7.0,1658.0,141.0,80.0,0.6,1.0,147920.0,20071.0,0.2,0.2,0.2,0.0,1.0,28.6,29.2,49.2,204.4,3.0,557.0,996139.0,88.0
1.0,1.0,1365.0,101.0,56.0,0.2,0.2,116063.0,62156.0,0.0,0.0,0.0,0.0,0.0,1.6,3.2,15.6,18.4,1.0,8291.0,1839168.0,95.0
55.0,52.0,7418.0,2503.0,2485.0,0.8,0.6,39717.0,60613.0,3.19,4.39,6.99,8.18,0.4,3.59,10.18,33.13,69.46,3.4,153.0,971222.0,83.0
9.0,7.0,919.0,61.0,63.0,0.6,0.4,23544.0,42471.0,0.0,0.0,0.0,0.0,0.0,2.4,2.8,31.0,52.2,2.2,506.0,1532699.0,96.0
20.0,18.0,909.0,374.0,134.0,0.2,0.2,564903.0,546743.0,2.6,4.2,4.2,0.0,0.8,6.8,6.8,24.8,46.8,201.0,93.0,6.0,0.0
24.0,34.0,3712.0,118.0,92.0,0.2,0.2,102973.0,25526.0,0.2,0.4,0.4,0.0,0.0,1.8,1.8,17.6,20.0,1.6,334.0,1752571.0,93.0
3.0,0.0,3580.0,278.0,230.0,3.19,1.0,292840.0,55884.0,0.0,0.0,0.0,0.0,0.4,18.76,23.15,163.07,358.08,4.2,1006.0,1388792.0,84.0
6.0,5.0,1711.0,50.0,72.0,0.8,2.2,28886.0,27183.0,3.6,4.6,3.6,0.0,1.8,1.4,1.8,66.6,122.4,1.0,251.0,1021256.0,92.0
